Message,Severity,Explanation,Recommended Action
"LWAPP-3-MSG_SEND_ERR: ""The system is unable to send %s message to LWAPP",3-Error,The LWAPP process may be busy. If this condition persists,Standard Recommended Action
"LWAPP-3-NONCE_FAIL: ""%s",3-Error,Nonce generation is needed in order to have secure communication between AP and controller.Nonce generation fail means AP join could be impacted.,Standard Recommended Action
"LWAPP-3-NPU_ERR: The system detects an invalid NPU index %u""",3-Error,The system is indexing into the network processor's internal table with invalid index. The AP might not be able to join the controller,Standard Recommended Action
"LWAPP-3-NPU_ERR2: ""All NPU indices have been used",3-Error,The system could not create an entry for the AP in fast path because the internal database is full. The AP might not be able to join the controller.,Standard Recommended Action
"LWAPP-3-NPU_ERR3: ""The system could not allocate NPU index for AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Due to an internal error,Standard Recommended Action
LWAPP-3-NPU_ERR4: The system has failed to add NPU entry for AP %02x:%02x:%02x:%02x:%02x:%02x,3-Error,Due to an internal error,Standard Recommended Action
"LWAPP-3-OFDM_ERR: ""The system has received invalid OFDM channel",3-Error,An internal error occurred when attempting to configure a channel.,Standard Recommended Action
LWAPP-3-PARSE_ERR: LWAPP header parsing failed for packet from AP %02x:%02x:%02x:%02x:%02x:%02x,3-Error,An internal error has occurred when processing a LWAPP control packet. The LWAPP header was not understood,Standard Recommended Action
"LWAPP-3-PARSE_ERR2: ""LWAPP header parsing failed",3-Error,An internal error has occurred when processing a LWAPP control packet. The LWAPP header was not understood,Standard Recommended Action
"LWAPP-3-PARSE_ERR3: ""The sytem is unable to parse LWAPP headers for %s",3-Error,An internal error has occurred when processing a LWAPP control packet. The LWAPP header was not understood,Standard Recommended Action
"LWAPP-3-PAYLOAD_MISSING:  %s """,3-Error,Not all payloads expected in the LWAPP message are present.,Standard Recommended Action
LWAPP-3-PROFILE_NAME_ERR: The system could not find profile name for WLAN %d with SSID %.*s,3-Error,The profile name for the WLAN could not be found in the database.,Standard Recommended Action
"LWAPP-3-PROFILE_NAME_ERR2: ""The system could not find profile name for WLAN with SSID %.*s""",3-Error,The profile name for the WLAN could not be found in the database.,Standard Recommended Action
"LWAPP-3-RADIO_CRASH: ""Radio",3-Error,An error has occurred on the radio for the specified AP. The AP might not function as expected.,Collect the radio crash information for the AP and contact technical assistance.
"LWAPP-3-RADIO_ERR2: ""Unknown AP radio failed alarm",3-Error,The AP has sent a radio failed alarm that the controller could not understand.,Standard Recommended Action
"LWAPP-3-RADIUS_PORT_ERR: ""The system has received invalid RADIUS port number for AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,The Port number for RADIUS is incorrect. RADIUS configuration could not be configured on the AP.,Check the RADIUS configuration for the flexconnect APs configured on the controller.
"LWAPP-3-RADIUS_SECRET_ERR1: MAC filtering request dropped as shared secret for RADIUS was not found""",3-Error,"The system is unable to find a RADIUS password,Check the RADIUS shared secret configured on the controller and the RADIUS server.""",Standard Recommended Action
"LWAPP-3-RADIUS_SECRET_ERR2: ""The system has received invalid RADIUS shared secret",3-Error,"The length of the shared secret is incorrect,Check the RADIUS configuration for the flexconnect APs configured on the controller.""",Standard Recommended Action
"LWAPP-3-RD_ERR: ""Regulatory domain of the AP %02x:%02x:%02x:%02x:%02x:%02x does not match the country code",3-Error,A mismatch has occurred in the country code and regulatory domain configured on the AP and controller. The AP might not be able to join the controller.,Standard Recommended Action
"LWAPP-3-RD_ERR10: ""AP %02x:%02x:%02x:%02x:%02x:%02x is disabled - default country code is %s""",3-Error,"Due to an error in the regulatory domain configured on the AP and the inability to associate a correct country code,Check if the correct country code is configured on the controller""",Standard Recommended Action
"LWAPP-3-RD_ERR11: ""Universal AP %02x:%02x:%02x:%02x:%02x:%02x is disabled - Country %s for this APis not configured""",3-Error,"Due to an error in the regulatory domain configured on the AP and the inability to associate a correct country code,Configure the correct country code on the controller""",Standard Recommended Action
LWAPP-3-RD_ERR2: Regulatory domain for AP %02x:%02x:%02x:%02x:%02x:%02x  is not updated for all slots.,3-Error,An error has occurred in the regulatory domain information for the slots on the AP. All of them do not have regulatory domain configured. The AP might not be able to join the controller.,Standard Recommended Action
"LWAPP-3-RD_ERR3: ""The system detects an invalid regulatory domain",3-Error,The regulatory domain configured on the AP slot was not understood. The AP might not be able to join the controller.,Check if the correct country code is configured on the controller
"LWAPP-3-RD_ERR4: ""The system detects an invalid regulatory domain %s for AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,The regulatory domain configured on the AP was not understood. The AP might not be able to join the controller.,Check if the correct country code is configured on the controller
"LWAPP-3-RD_ERR5: ""AP's",3-Error,Due to an error in the regulatory domain configured on the AP,Standard Recommended Action
LWAPP-3-RD_ERR6: APs,3-Error,Due to an error in the regulatory domain configured on the AP,Check if the correct country code is configured on the controller.
LWAPP-3-RD_ERR8: Country code,3-Error,Due to an error in the regulatory domain configured on the AP,Standard Recommended Action
"LWAPP-3-RD_ERR9: ""APs %02x:%02x:%02x:%02x:%02x:%02x country code changed from",3-Error,"The country code associated with the regulatory domain configured on the AP was incorrect,If the AP is functioning correctly with the changed country code",Standard Recommended Action
"LWAPP-3-RECV_FAIL: The system could not process LWAPP packet""",3-Error,An internal error has occurred while processing the LWAPP packet. The packet was dropped.,Standard Recommended Action
"LWAPP-3-REKEY_ERR: ""Did not receive an expected rekey message from AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,The AP may be disconnected because the rekeying message expected from the AP was not received.,Standard Recommended Action
"LWAPP-3-RESET_ALL_APS_ERR: ""The system is unable to send system reset message""",3-Error,If this happens,No action is required
"LWAPP-3-ROGUE_ERR: ""The system could not send rogue report for %02x:%02x:%02x:%02x:%02x:%02x from AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Due to an internal error,Standard Recommended Action
"LWAPP-3-RX_ERR7: ""The system has received an invalid sequence number",3-Error,The LWAPP sequencing has failed for this LWAPP message,Standard Recommended Action
"LWAPP-3-RX_ERR8: The system is unable to receive %s from AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Due to an internal error,Standard Recommended Action
"LWAPP-3-SIG_ERR: ""No pattern in signature with id %d",3-Error,Due to an internal error,Standard Recommended Action
"LWAPP-3-SIG_ERR1: ""The system is unable to find name for signature %d in list %d for report from AP %02x:%02x:%02x:%02x:%02x:%02x.""",3-Error,The controller could not process the signature report sent by the AP. Some attacks may not be detected.,Standard Recommended Action
"LWAPP-3-SIG_ERR10: ""The system is unable to re-enable signature processing on AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,The controller could not notify the AP about the new signature. The signature processing on the AP may not work as expected.,Standard Recommended Action
"LWAPP-3-SIG_ERR2: ""The system is unable to find description for signature %d in list %d for report from AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,The controller could not process the signature report sent by the AP. Some attacks may not be detected.,Standard Recommended Action
LWAPP-3-SIG_ERR3: Unknown signature track information,3-Error,The controller could not process the signature report sent by the AP. Some attacks may not be detected.,Standard Recommended Action
"LWAPP-3-SIG_ERR4: ""Unknown signature report type",3-Error,The controller could not process the signature report sent by the AP. Some attacks may not be detected.,Standard Recommended Action
"LWAPP-3-SIG_ERR5: ""The system could not gain exclusive access to the signature database""",3-Error,The controller could not send a signature list to the AP due to an internal error.,Standard Recommended Action
"LWAPP-3-SIG_ERR6: ""All signatures are disabled in the %s signature file.""",3-Error,The controller could not send signature information to the AP because all signatures are disabled.,Check if all signatures are disabled
"LWAPP-3-SIG_ERR7: The system is unable to send toggle signature request to AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,The controller has failed to change the state of the signature processing on the specified AP. The signature processing on the AP may not function as expected.,Standard Recommended Action
"LWAPP-3-SIG_ERR8: ""The system is unable to disable signature processing on AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Due to an internal error,Standard Recommended Action
"LWAPP-3-SIG_ERR9: Error sending new signatures to AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,New signature information could not be sent to the AP. The signature processing on the AP may not work as expected.,Standard Recommended Action
LWAPP-3-SLOT_ERR: AP,3-Error,No radio cards were detected on the AP. The AP may not be able to service clients.,Standard Recommended Action
"LWAPP-3-SOCK_ERR2: ""Socket select error",3-Error,An internal error has caused a temporary failure in a message handling process. The system is attempting to recover from this situation.,Standard Recommended Action
"LWAPP-3-SOCK_ERR3: ""The system could not read from the LWAPP socket""",3-Error,A failure has occurred when processing an internal LWAPP message. The system may become unstable.,Standard Recommended Action
"LWAPP-3-SOCK_ERR4: ""The system could not read from LWAPP socket",3-Error,A failure has occurred when processing an internal LWAPP message. The system may become unstable.,Standard Recommended Action
"LWAPP-3-SSID_ERR1: ""Not creating SSID %.*s on AP %02x:%02x:%02x:%02x:%02x:%02x because WEP 128 bit encryption is not supported on the AP""",3-Error,The specified WLAN was not added on the AP because 128 bit encryption is not supported on the AP.,"Change the number of bits in the encryption
"
"LWAPP-3-STATIC_IP_ERR: ""Configured static IP Address is not valid for AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,The IP address information sent by the AP is incorrect.,Standard Recommended Action
LWAPP-3-TIME_ERR2: Keeping connection from AP %02x:%02x:%02x:%02x:%02x:%02x in overload condition,3-Error,The controller is overloaded.,Check if another controller needs to be added to support the number of APs that are deployed.
"LWAPP-3-TIME_ERR3: ""The system is unable to retrieve time information to send AP timesync config packet""",3-Error,Due to an internal error,Standard Recommended Action
"LWAPP-3-TMR_ERR: ""%s timer count",3-Error,Due to an internal error,Standard Recommended Action
"LWAPP-3-TMR_FREE_ERR: ""The system has failed to free %s timer",3-Error,An internal error occurred while processing a timer. The AP may not operate as expected.,Standard Recommended Action
"LWAPP-3-TMR_START_ERR: ""The system has failed to start %s timer",3-Error,Due to an internal error,Standard Recommended Action
"LWAPP-3-TOO_MANY_LT: ""Too many linktests running",3-Error,Too many linktests are already running. Please wait while they complete before initiating another linktest.,No action is required
LWAPP-3-TX_ERR: The system could not transmit LWAPP packet,3-Error,LWAPP packet transmission has failed because the transmit queue has reached a maximum limit. It is possible that the response packets from the AP are not reaching the controller.,Check if the AP has rebooted or if it has been removed from the network. Also check if there are connectivity issues between the AP and the controller.
"LWAPP-3-TX_ERR2: ""Transmission of LWAPP message failed for AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Due to an internal error,Standard Recommended Action
LWAPP-3-TX_ERR3: Max retransmissions for LWAPP control message reached on AP %02x:%02x:%02x:%02x:%02x:%02x for %s,3-Error,The Maximum number of times that an LWAPP control packet is transmitted before declaring the AP dead has been reached for this AP. The AP may not be on the network.,Check if the AP has rebooted or if it has been removed from the network. Also check if there are connectivity issues between the AP and the controller.
"LWAPP-3-TX_ERR4: ""The system is unable to retrieve AP's",3-Error,An LWAPP message has been dropped because the information to send the message was not available.,Standard Recommended Action
"LWAPP-3-TX_ERR5: ""The system has failed to transmit %s to AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Due to an internal error,Standard Recommended Action
LWAPP-3-TX_ERR6: The system could not send LWAPP control packet,3-Error,Due to an incorrect length of the LWAPP message,Standard Recommended Action
"LWAPP-3-UDP_PORT_ERR: ""The system has received invalid UDP port",3-Error,An invalid packet received from the AP has been dropped.,Standard Recommended Action
"LWAPP-3-UNSUPP_AP: ""Refusing image download request from unsupported AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,The AP is not supported in the current version of the controller's  software,No action is required
"LWAPP-3-UNSUPPORTED_TYPE: ""The system has received an invalid %s",3-Error,The information received on the controller was not understood,Standard Recommended Action
LWAPP-3-UNSUPPORTED_TYPE2: The system has received an invalid %s,3-Error,The information received on the controller was not understood,Standard Recommended Action
"LWAPP-3-VENDOR_ID_ERR: The system detects an invalid vendor identifier in vendor specific payload from AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Due to invalid vendor information,Standard Recommended Action
"LWAPP-3-VENDOR_SPEC_ERR: ""The system has failed decoding vendor specific payload""",3-Error,The message from the AP could not be processed due an error in the vendor-specific information.,Standard Recommended Action
"LWAPP-3-WLAN_ERR: ""The system is unable to find WLAN %d - %s",3-Error,An internal error has occurred because the WLAN information could not be found. The specified operation could not be performed.,Standard Recommended Action
"LWAPP-3-WLAN_ERR4: ""The system is unable to add WLAN on AP %02x:%02x:%02x:%02x:%02x:%02x - max limit reached""",3-Error,An invalid WLAN ID has been received because the controller could not configure the WLAN on the AP.,Standard Recommended Action
"LWAPP-3-WLAN0_RSVD_ERR: ""Not creating SSID %.*s on Bridge AP %02x:%02x:%02x:%02x:%02x:%02x because wlan0 is not supported""",3-Error,wlan0 is a reserved field and not meant for clients.Hence creating SSID for wlan0 is not supported.,No action is required
"LWAPP-3-WSA_SERVER_ERR: ""Sensor AP %s %02x:%02x:%02x:%02x:%02x:%02x not reachable to WSA server Status:%s Errorcode:%s.""",3-Error,Sensor AP is not reachable to WSA server,No action is required
"LWAPP-4-AP_DB_ERR1: ""The sytem is unable to find AP %02x:%02x:%02x:%02x:%02x:%02x entry in the database",4-Warning,The operation being performed for the AP has failed because the internal entry for the AP was not found. It is possible that the AP has been removed from the controller.,Use the show ap summary command to determine if the AP is still joined to the controller.
"LWAPP-4-AP_DUPLEX_MISMATCH: ""Duplex mismatch discovered on %s ",4-Warning,Duplex mismatch discovered for AP interface,Standard Recommended Action
"LWAPP-4-AP_JDBG_INIT_FAILED: ""The sytem is unable to initialize AP join debugging infrastructure ",4-Warning,This AP join debugging infrastructure could not be initialized for the specified number of APs to be supported. The exact reason for the failure is specified in the message. The ability to debug AP join issues is limited.,No action is required
"LWAPP-4-AP_JDBG_INVALID_DATA: ""The system detects an invalid AP join debugging data detected",4-Warning,An internal error has occurred when initializing AP join information for debugging. The ability to debug AP join issues is limited.,No action is required
"LWAPP-4-AP_LOG_HOST_CFG_ERR: The sytem is unable to set system logging host configuration for AP:%02x:%02x:%02x:%02x:%02x%02x""",4-Warning,The controller could not configure system logging configuration for an AP. The AP might not be joined to a controller.,No action is required
"LWAPP-4-AP_LOG_HTTP_PROF_PORT_CFG_ERR: The sytem is unable to set http profiling custom port configuration for AP:%02x:%02x:%02x:%02x:%02x%02x""",4-Warning,The controller could not configure http profiling custom port configuration for an AP. The AP might not be joined to a controller.,No action is required
"LWAPP-4-DATA_PLANE_ECHO: ""AP %s reported timeout communicating to controller on data plane.""",4-Warning,Data plane keep alive timed out.,Standard Recommended Action
"LWAPP-4-DISC_TIME_ERR: ""The system is unable to retrieve time information while processing discovery request from AP %02x:%02x:%02x:%02x:%02x:%02x""",4-Warning,Due to an internal error,No action is required
LWAPP-4-JOIN_MAX_AP_ERR: The system has received a join request from AP %02x:%02x:%02x:%02x:%02x:%02x - reached limit for maximum APs %d/%d,4-Warning,Each controller has a limit on the number of APs that can be supported. This limit has been reached,No action is required
LWAPP-4-L3_PACK_ERR: The system has received an L3 LWAPP packet in L2 LWAPP mode,4-Warning,The controller is configured in L3 LWAPP mode so packets received  for the L2 LWAPP mode are being dropped.,No action is required
"LWAPP-4-MESH_RSP_UNKNOWN_AP: ""The system has received Mesh stats response from unknown AP %02x:%02x:%02x:%02x:%02x:%02x""",4-Warning,The system has received Mesh stats response received from unknown access point.,No action is required
"LWAPP-4-MESH_RSP_UNKNOWN_AP_1: ""The system has received Mesh Security Stats response from unknown AP %02x:%02x:%02x:%02x:%02x:%02x""",4-Warning,The system has received Mesh Security Stats response from unknown access point.,No action is required
"LWAPP-4-MESH_RSP_UNKNOWN_AP_2: ""The system has received Mesh Adj response from unknown AP %02x:%02x:%02x:%02x:%02x:%02x""",4-Warning,The system has received Mesh Adj response from unknown access point.,No action is required
"LWAPP-4-MESH_RSP_UNKNOWN_AP_3: ""The system has received Mesh Neigh response from unknown AP %02x:%02x:%02x:%02x:%02x:%02x""",4-Warning,The system has received Mesh Neigh response from unknown access point.,No action is required
"LWAPP-4-MESH_RSP_UNKNOWN_AP_4: ""The system has received Mesh Linkrate response from unknown AP %02x:%02x:%02x:%02x:%02x:%02x""",4-Warning,The system has received Mesh Linkrate response from unknown access point.,No action is required
"LWAPP-4-MESH_RSP_UNKNOWN_AP_5: ""The system has received station stats update from unknown AP %02x:%02x:%02x:%02x:%02x:%02x""",4-Warning,The system has received station stats update from unknown access point.,No action is required
"LWAPP-4-MESH_RSP_UNKNOWN_AP_6: ""The system has received mesh node update from unknown AP %02x:%02x:%02x:%02x:%02x:%02x""",4-Warning,The system has received mesh node update from unknown access point.,No action is required
"LWAPP-4-MESH_RSP_UNKNOWN_AP_7: ""The system has received mesh env. update from unknown AP %02x:%02x:%02x:%02x:%02x:%02x""",4-Warning,The system has received mesh env. update from unknown access point.,No action is required
"LWAPP-4-MESH_RSP_UNKNOWN_AP_8: ""The system has received mesh neighs update from unknown AP %02x:%02x:%02x:%02x:%02x:%02x""",4-Warning,The system has received mesh neighs update from unknown access point.,No action is required
"LWAPP-4-MESH_RSP_UNKNOWN_AP_9: ""The system has received linktest response from unknown AP %02x:%02x:%02x:%02x:%02x:%02x""",4-Warning,The system has received linktest response from unknown access point.,No action is required
"LWAPP-4-SIG_INFO1: ""Signature information",4-Warning,Bad signature information has been detected on the specified AP.,No action is required
"LWAPP-4-SSID_ERR2: Not creating SSID %.*s on AP %02x:%02x:%02x:%02x:%02x:%02x because diagnostics channel is enabled""",4-Warning,The specified WLAN was not added to the AP because diagnostics have been enabled on that WLAN.,If the WLAN needs to be enabled
"LWAPP-5-DISC_MAX_AP2: ""Dropping primary discovery request from AP %02x:%02x:%02x:%02x:%02x:%02x - maximum APs joined %d/%d""",5-Notice,The system's maximum limit on the number of supported APs  has been reached,No action is required
"LWAPP-6-AP_JDBG_ADD_FAILED: ""Information not added to the debugging database for AP:%02x:%02x:%02x:%02x:%02x%02x",6-Information,AP join information could not be added to the debugging database for the indicated reason. Debugging logs might be incomplete.,If the AP join information entry could not be created because the controller is already maintaining a maximum number of entries supported on the particular controller platform
LWAPP-6-AP_JDBG_LOOKUP_FAILED: For AP %02x:%02x:%02x:%02x:%02x:%02x,6-Information,AP Look Up Failed.,No action is required
"LWAPP-6-AP_MODEL: ""%u APs supported on platform",6-Information,Informational - just logging how the number of supported APs is being determined.,No action is required
"LWAPP-6-AP_NOT_CONTAINED: ""AP %s is not being contained on slot %d""",6-Information,The specified AP is not a rogue,No action is required
"LWAPP-6-AP_POWER_OK: ""AP %02x:%02x:%02x:%02x:%02x:%02x has verified sufficient in-line power",6-Information,The AP power is within requirements,No action is required
"LWAPP-6-CAPWAP_CREATED_AP: ""Discarding LWAPP %s from AP %02x:%02x:%02x:%02x:%02x:%02x since AP entry is created in CAPWAP""",6-Information,The Message has been recieved in LWAPP from the AP but the AP entry was created by CAPWAP. The system is ignoring the message.,No action is required
"LWAPP-6-CONSOLE_LOGIN: ""Console login success on AP %s""",6-Information,A login attempt on the AP's console was successful.,No action is required
"LWAPP-6-DISC_RESPONSE_SENT: ""Discovery Response sent successfully to AP %02x:%02x:%02x:%02x:%02x:%02x""",6-Information,A discovery response has been sent succesfully to the AP.,No action is required
"LWAPP-6-JOIN_MASTER: ""Controller is also configured as the master",6-Information,The controller is also configured as the primary controller. Change the configuration of the controller so that it is not the primary.,No action is required
"LWAPP-6-LAG_TRAN: Link aggregation configuration is in transition""",6-Information,The controller's link aggregation configuration has been changed but the changes do not take effect until the next system reboot.,No action is required
"LWAPP-6-LINKTEST_DETAILS: ""Linktest Instance %d:",6-Information,Linktest details are as mentioned.,No action is required
"LWAPP-6-MESH_LINKTEST_FAIL: ""Linktest to AP failed.""",6-Information,AP linktest failed. Check connectivity to AP,No action is required
"LWAPP-6-MESH_LINKTEST_SUCCESS: ""Linktest to AP was successful. linktest ID: %d""",6-Information,AP linktest was successful.,No action is required
"LWAPP-6-PORTMAP_ERR: ""The system has failed to obtain multicast port map for interface %u",6-Information,The system could not get information on a multicast port using the information that is available for unicast. Multicast may not work as expected.,Standard Recommended Action
"LWAPP-6-RADIUS_AUTHORIZATION: ""The system could not send join reply",6-Information,The join reply has not been sent to the AP because AP authentication failed.,Check the AP credentials on the RADIUS server
"LWAPP-6-RAP_REBOOT_REASON_OTA: ""AP %02x:%02x:%02x:%02x:%02x:%02x associated. Last AP reset was because RAP was using radio backhaul as uplink for 15 minutes. Uptime: %s. """,6-Information,AP has rejoined. AP reset occurred because RAP was using radio backhaul as uplink for 15 minutes.,No action is required
"LWAPP-6-REBOOT_ERR2: ""AP %02x:%02x:%02x:%02x:%02x:%02x joined to the controller currently experienced a reset earlier - Uptime: %s.",6-Information,The AP was unable to service clients because it experienced a reset due to the reason specified in the message.,Obtain the AP crash files from the controller
"LWAPP-6-REBOOT_INFO1: ""Controller initiated reset of AP %02x:%02x:%02x:%02x:%02x:%02x that has currently joined the controller - Uptime: %s. ",6-Information,The last reset for the specified AP was triggered by the controller due to configuration changes on the AP that required a reset.,No action is required
"LWAPP-6-WLAN_STATUS_ERR: ""%s %d %s %d %s",6-Information,The operation attempted on the slot for the WLAN was not necessary,No action is required
"LWAPP-7-DISC_OTAP_ERR: ""Ignoring OTAP discovery request from AP %02x:%02x:%02x:%02x:%02x:%02x",7-Debug,"The controller has received a discovery request from an AP that has learned the controller's address over the air,Enable OTAP on the controller if desired. Otherwise ignore this message.""",Standard Recommended Action
"MBOX-3-DEREG_FAIL_BAD_PARM: ""event 0x%x""",3-Error,Deregistration of handler function for a mailbox event failed due to a bad parameter.,Standard Recommended Action
"MBOX-3-DEREG_FAIL_NO_HANDLER: ""event 0x%x",3-Error,Deregistration of handler function for a mailbox event failed because no handler was registered for the event.,Standard Recommended Action
"MBOX-3-NO_HANDLER_FOR_EVENT: ""events 0x%x bad bit number %u""",3-Error,Mailbox event is pending but no handler is registered for event.,Standard Recommended Action
"MBOX-3-REG_FAIL_BAD_PARM: ""event 0x%x",3-Error,Registration of handler function for a mailbox event failed due to a bad parameter.,Standard Recommended Action
"MBOX-3-REG_FAIL_HANDLER_EXISTS: ""event 0x%x",3-Error,Registration of handler function for a mailbox event failed because a handler is already registered for the event.,Standard Recommended Action
"MEM_MGR-2-DRAM_POOL_CREATE_ERR: ""return code %d""",2-Critical,Creation of public DRAM memory pool failed.,Standard Recommended Action
"MEM_MGR-2-DUP_DRAM_POOL_CREATE: ""pool exists""",2-Critical,Request to create public DRAM memory pool failed because pool already exists.,Standard Recommended Action
"MEM_MGR-2-DUP_SRAM_POOL_CREATE: ""pool exists""",2-Critical,Request to create public SRAM memory pool failed because pool already exists.,Standard Recommended Action
"MEM_MGR-2-SRAM_POOL_CREATE_ERR: ""return code %d""",2-Critical,Creation of public SRAM memory pool failed.,Standard Recommended Action
"MEM_MGR-3-DESTROY_PARM_ERR: ""pool handle 0x%x""",3-Error,Request to lock memory pool element failed due to reference count for element already being at the maximum value.,Standard Recommended Action
"MEM_MGR-3-FREE_PARM_ERR: ""pool handle 0x%x",3-Error,Memory deallocation request failed due to bad parameter value.,Standard Recommended Action
"MEM_MGR-3-LOCK_PARM_ERR: ""pool handle 0x%x",3-Error,Request to lock memory pool element failed due to bad parameter value.,Standard Recommended Action
"MEM_MGR-3-MALLOC_PARM_ERR: ""pool handle 0x%x",3-Error,Memory allocation request failed due to bad parameter value.,Standard Recommended Action
"MEM_MGR-3-POOL_APPEND_PARM_ERR: ""pool handle 0x%x",3-Error,Append of additional memory to pool failed due to bad parameter value.,Standard Recommended Action
"MEM_MGR-3-POOL_CREATE_PARM_ERR: ""addr 0x%x",3-Error,Creation of memory pool failed due to bad parameter value.,Standard Recommended Action
"MEM_MGR-3-POOL_STATS_PARM_ERR: ""pool handle 0x%x",3-Error,Read of memory pool statistics failed due to bad parameter value.,Standard Recommended Action
"MESH_MSG-3-MESH_PSK_WRITE_FAIL: ""Unable to write Mesh PSK cfg to xml.""",3-Error,Unable to write Mesh PSK cfg to xml.,Standard Recommended Action
"MESH_MSG-4-CREATE_TASK_FAIL: ""Failed to Create MESH Message Task. The RAP channels will not be posted.""",4-Warning,Failed to Create MESH Message Task. The RAP channels will not be posted.,Standard Recommended Action
"MESH_MSG-4-MESH_SECPSK_AUTHFAIL: ""Mesh node %02x:%02x:%02x:%02x:%02x:%02x failed to join controller via parent node %02x:%02x:%02x:%02x:%02x:%02x due to invalid PSK Key.""",4-Warning,Mesh node failed to join controller via parent node due to invalid PSK Key.,Standard Recommended Action
"MESH_MSG-4-MSGQ_CREATE_FAIL: ""Unable to create msg queue for meshMsgTask.""",4-Warning,Unable to create msg queue for meshMsgTask.,Standard Recommended Action
"MESH_MSG-4-SEMA_CREATE_FAIL: ""Unable to create sema for BGN list.""",4-Warning,Unable to create sema for BGN list.,Standard Recommended Action
"MIRROR-3-ADD_NODE_FAILED: ""Unable to add the mac address %02x:%02x:%02x:%02x:%02x:%02x into AVL tree.""",3-Error,The System is unable to add a node into the AVL tree.,Standard Recommended Action
"MIRROR-3-AVL_DELETE_FAILED: ""Unable to delete the mac address %02x:%02x:%02x:%02x:%02x:%02x from AVL tree.""",3-Error,The system is unable to delete a node from the AVL tree.,Standard Recommended Action
"MIRROR-3-AVL_INIT_FAILED: ""Unable to create AVLs for Mirror module.""",3-Error,The System is unable to create the AVLs for Mirror module.,Standard Recommended Action
"MIRROR-3-DISABLE_MIRRORPORT_FAILED: ""Could not disable the existing mirror port %d.""",3-Error,The system could not disable the existing mirror port.,Standard Recommended Action
"MIRROR-3-ENABLE_MIRRORPORT_FAILED: ""Could not set the port %d as mirror port.Return code:%d""",3-Error,The system could not set a port as mirror port.,Standard Recommended Action
"MIRROR-3-INVALID_PORT: ""Port %d is invalid.""",3-Error,The port is invalid.,Standard Recommended Action
"MIRROR-3-MEM_ALLOC_FAILED: ""Could not allocate memory for %s.""",3-Error,The system could not allocate memory for heap.,Standard Recommended Action
"MIRROR-3-NODE_NOT_FOUND: ""Unable to add the mac address %02x:%02x:%02x:%02x:%02x:%02x into AVL tree.""",3-Error,The system unable to find a node in the AVL tree.,Standard Recommended Action
"MIRROR-3-RETRIEVE_FILE_FAILED: ""Failed to retrieve the configuration file %s.""",3-Error,The system has failed to retrieve the mirror configuration file.,Standard Recommended Action
"MIRROR-3-SEM_CREATE_FAILED: ""Unable to create semaphore for Mirror module.""",3-Error,The system is unable to create semaphore for the mirror module.,Standard Recommended Action
"MIRROR-3-STORE_FILE_FAILED: ""Failed to store the configuration file %s into NV Memory.""",3-Error,The system has failed to store the mirror configuration file into the NV Memory.,Standard Recommended Action
"MIRROR-3-TOGGLE_AP_FAILED: ""Could not toggle the AP %s's mirror mode.%s.""",3-Error,The system could not toggle the AP mirror mode.,Standard Recommended Action
"MIRROR-3-TOGGLE_MIRRORMODE_FAILED: ""Could not toggle mirror mode for the MAC address %02x:%02x:%02x:%02x:%02x:%02x to %s state""",3-Error,The system could not toggle the client mirroring.,Standard Recommended Action
"MIRROR-3-TYPE_NOT_MATCH: ""Given mac's",3-Error,The node type doesn't match with the node type found in the AVL tree.,Standard Recommended Action
"MIRROR-3-UPDATE_FAP_AVL_FAILED: ""Could not update dynamic Foreign AP client toMAC AVL.Mac address is %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,The system could not update dynamic Foreign AP client to the MAC AVL.,Standard Recommended Action
"MIRROR-3-UPDATE_FAP_NPU_FAILED: ""Could not update Foreign AP client's mirrorstatus in NPU.Mac Address is %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,The system could not update the foreign AP client's mirrorstatus in NPU.,Standard Recommended Action
"MM-0-INET_MULTICAST_GROUP_IP_SET_ERROR: ""Error in %s while setting moblity group multicast IP Address %s. Please disable mobility multicast-mode if this error continues.""",0-Emergency,Mobility is unable to use multicast for messaging.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-0-LISTEN_TASK_EXITED: ""mmListen task did not receive a task control block --exiting""",0-Emergency,LOG_EXPL_SYSERR,The mobility services failed to start correctly.  
